hash,s_num,rarity,bg,body,misc,hand
2785695370135140505,CryptoStykz #20,2.05,"('imgs\\background\\.6\\buildings2.png', 0.6)","('imgs\\Stick Bodies\\.15\\dino.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\imi tavor tar21.png', 0.4)"
,,,,,,
6226386398881530466,CryptoStykz #21,1.8,"('imgs\\background\\.6\\3droom21.png', 0.6)","('imgs\\Stick Bodies\\.15\\elephant.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\portalgun.png', 0.15)"
,,,,,,
-4113646249924856613,CryptoStykz #22,1.7,"('imgs\\background\\.1\\stairs cracks.png', 0.1)","('imgs\\Stick Bodies\\.3\\general grevious.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\m249 spw.png', 0.4)"
,,,,,,
-6998415371444567998,CryptoStykz #23,1.58,"('imgs\\background\\.6\\cityscape2-jon5.png', 0.6)","('imgs\\Stick Bodies\\.05\\pivot2defaultstk.png', 0.05)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.03\\cannon_bolt red caution.png', 0.03)"
,,,,,,
4394317079675057199,CryptoStykz #24,2.15,"('imgs\\background\\.6\\V2 collection - Catwalk with ladder5.png', 0.6)","('imgs\\Stick Bodies\\.5\\yoshimitsu.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\portalgun blue web.png', 0.15)"
,,,,,,
2548573450785204360,CryptoStykz #25,2.2,"('imgs\\background\\.6\\3droom1.png', 0.6)","('imgs\\Stick Bodies\\.3\\ob9 Headless.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\ninja sword granite.png', 0.4)"
,,,,,,
-9019585780258881062,CryptoStykz #26,2.2,"('imgs\\background\\.6\\3d room 3.png', 0.6)","('imgs\\Stick Bodies\\.3\\general grevious.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\xpswords500 green.png', 0.4)"
,,,,,,
-3462455030450569886,CryptoStykz #27,2,"('imgs\\background\\.3\\bench area by jon0.png', 0.3)","('imgs\\Stick Bodies\\.5\\army dude.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\sai sword leather.png', 0.3)"
,,,,,,
3885070877699431178,CryptoStykz #28,2.2,"('imgs\\background\\.6\\buildings5.png', 0.6)","('imgs\\Stick Bodies\\.3\\cowboy.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\ak102 mud.png', 0.4)"
,,,,,,
-7869197044153763753,CryptoStykz #29,2.1,"('imgs\\background\\.6\\3d room 2.png', 0.6)","('imgs\\Stick Bodies\\.3\\god.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\amt automag II firing qbert.png', 0.3)"
,,,,,,
560669801878894411,CryptoStykz #30,1.8,"('imgs\\background\\.6\\basic village section 25.png', 0.6)","('imgs\\Stick Bodies\\.15\\horse.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\chinese militia sword lightning.png', 0.15)"
,,,,,,
7990199491584332179,CryptoStykz #31,2.15,"('imgs\\background\\.6\\outer space5.png', 0.6)","('imgs\\Stick Bodies\\.5\\base_picto.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\beretta 92fs elite firing lightning.png', 0.15)"
,,,,,,
-7174913668752925508,CryptoStykz #32,2.4,"('imgs\\background\\.6\\basic village section 22.png', 0.6)","('imgs\\Stick Bodies\\.5\\1337squadbasefghd.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\xpswords600 wood.png', 0.4)"
,,,,,,
-8333949789001606522,CryptoStykz #33,2.4,"('imgs\\background\\.6\\bridge1.png', 0.6)","('imgs\\Stick Bodies\\.5\\headchopper.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\g33 bricks.png', 0.4)"
,,,,,,
-274013112434139411,CryptoStykz #34,2.2,"('imgs\\background\\.6\\mountains_Bolt5.png', 0.6)","('imgs\\Stick Bodies\\.3\\Schoolgirl.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\M4Commando cork.png', 0.4)"
,,,,,,
-4427724575742283464,CryptoStykz #35,2.1,"('imgs\\background\\.3\\roof0.png', 0.3)","('imgs\\Stick Bodies\\.5\\bert soldier.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\basicglock red.png', 0.4)"
,,,,,,
5409071640854913715,CryptoStykz #36,1.7,"('imgs\\background\\.6\\outer space2.png', 0.6)","('imgs\\Stick Bodies\\.15\\horse.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.05\\silenced_sniper stripes.png', 0.05)"
,,,,,,
-2579006952099468996,CryptoStykz #37,1.72,"('imgs\\background\\.6\\outer space4.png', 0.6)","('imgs\\Stick Bodies\\.15\\Xenomorph_Creature.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.07\\silenced_sniper hippie.png', 0.07)"
,,,,,,
-3321209461929945827,CryptoStykz #38,2.03,"('imgs\\background\\.6\\3droom1.png', 0.6)","('imgs\\Stick Bodies\\.5\\ob9.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.03\\real gun caution.png', 0.03)"
,,,,,,
-1666895781222033278,CryptoStykz #39,1.87,"('imgs\\background\\.6\\mountains_Bolt2.png', 0.6)","('imgs\\Stick Bodies\\.3\\ob9 Headless.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.07\\silenced_sniper hippie.png', 0.07)"
,,,,,,
6976694148056766751,CryptoStykz #40,1.285,"('imgs\\background\\.6\\cityscape2-jon5.png', 0.6)","('imgs\\Stick Bodies\\.3\\Schoolgirl.png', 0.3)","('imgs\\Misc\\.085\\biology sig.png', 0.085)","('imgs\\weapons\\.3\\storm gun glitch.png', 0.3)"
,,,,,,
-1775530690048092248,CryptoStykz #41,1.8,"('imgs\\background\\.1\\stairs cracks.png', 0.1)","('imgs\\Stick Bodies\\.5\\Pictoguy_Picto.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\saiga12k.png', 0.3)"
,,,,,,
3659493837226378532,CryptoStykz #42,1.77,"('imgs\\background\\.3\\forest3.png', 0.3)","('imgs\\Stick Bodies\\.5\\jin kazama.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.07\\silenced_sniper rocks.png', 0.07)"
,,,,,,
-3863380170566626949,CryptoStykz #43,2.03,"('imgs\\background\\.6\\V2 collection - Catwalk with ladder6.png', 0.6)","('imgs\\Stick Bodies\\.5\\animedude.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.03\\V2 collection - Carved glaive caution.png', 0.03)"
,,,,,,
-7909335585484950131,CryptoStykz #44,1.83,"('imgs\\background\\.6\\basic village section 21.png', 0.6)","('imgs\\Stick Bodies\\.3\\Schoolgirl.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.03\\silenced_sniper caution.png', 0.03)"
,,,,,,
2852444556737682057,CryptoStykz #45,2.07,"('imgs\\background\\.6\\V2 collection - Back Scene3.png', 0.6)","('imgs\\Stick Bodies\\.5\\SSstk5shi.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.07\\rocket launcher2.png', 0.07)"
,,,,,,
-7869988421543590495,CryptoStykz #46,2.3,"('imgs\\background\\.6\\outer space5.png', 0.6)","('imgs\\Stick Bodies\\.5\\OmegaBert4.1.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\l85 qbert.png', 0.3)"
,,,,,,
-3533194891685049127,CryptoStykz #47,2.05,"('imgs\\background\\.6\\basic village section 22.png', 0.6)","('imgs\\Stick Bodies\\.15\\elephant.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\star17.png', 0.4)"
,,,,,,
5642426087042088602,CryptoStykz #48,1.85,"('imgs\\background\\.6\\basic village section 25.png', 0.6)","('imgs\\Stick Bodies\\.05\\sprites_pete.png', 0.05)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\sniper rifle 3d glitch.png', 0.3)"
,,,,,,
3566564203477918652,CryptoStykz #49,2.2,"('imgs\\background\\.6\\outer space9.png', 0.6)","('imgs\\Stick Bodies\\.3\\ob9 Headless.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\M4Commando leopard.png', 0.4)"
,,,,,,
-841453832731331254,CryptoStykz #50,2.1,"('imgs\\background\\.6\\bridge0.png', 0.6)","('imgs\\Stick Bodies\\.3\\general grevious.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\stoner lmg blue grid.png', 0.3)"
,,,,,,
-1069184687376912663,CryptoStykz #51,2.4,"('imgs\\background\\.6\\bridge1.png', 0.6)","('imgs\\Stick Bodies\\.5\\Aegis base1.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\fn scar red cubes.png', 0.4)"
,,,,,,
-8469555399115657438,CryptoStykz #52,1.055,"('imgs\\background\\.6\\3droom24.png', 0.6)","('imgs\\Stick Bodies\\.3\\cowboy.png', 0.3)","('imgs\\Misc\\.085\\trgg sig v3.png', 0.085)","('imgs\\weapons\\.07\\rocket launcher2 red.png', 0.07)"
,,,,,,
-2139575216008027020,CryptoStykz #53,1.8,"('imgs\\background\\.3\\battle stadium3.png', 0.3)","('imgs\\Stick Bodies\\.3\\god.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\rk95 suppressed fibers.png', 0.3)"
,,,,,,
-1255865625653431820,CryptoStykz #54,1.055,"('imgs\\background\\.6\\outer space0.png', 0.6)","('imgs\\Stick Bodies\\.3\\god.png', 0.3)","('imgs\\Misc\\.005\\DD blimp.png', 0.005)","('imgs\\weapons\\.15\\Ninja Naginata lightning.png', 0.15)"
,,,,,,
5386150745913554071,CryptoStykz #55,1.55,"('imgs\\background\\.1\\ghost town0.png', 0.1)","('imgs\\Stick Bodies\\.5\\ob9.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.05\\ak47 stripes.png', 0.05)"
,,,,,,
-6809375214268825572,CryptoStykz #56,1.9,"('imgs\\background\\.3\\roof5.png', 0.3)","('imgs\\Stick Bodies\\.3\\Schoolgirl.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\laser rifle 3d green.png', 0.4)"
,,,,,,
203841692964917781,CryptoStykz #57,2.15,"('imgs\\background\\.6\\stairs cracks11.png', 0.6)","('imgs\\Stick Bodies\\.5\\Ob8.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\ak47 glitch colored.png', 0.15)"
,,,,,,
-3821586099585443342,CryptoStykz #58,1.26,"('imgs\\background\\.6\\buildings2.png', 0.6)","('imgs\\Stick Bodies\\.5\\realistic_man.png', 0.5)","('imgs\\Misc\\.01\\trgg sig 19.png', 0.01)","('imgs\\weapons\\.15\\real sword pine.png', 0.15)"
,,,,,,
-1434817811446341035,CryptoStykz #59,1.8,"('imgs\\background\\.1\\stairs.png', 0.1)","('imgs\\Stick Bodies\\.5\\headchopper.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\lasergun2 glitch.png', 0.3)"
,,,,,,
-7550266363079756728,CryptoStykz #60,1.75,"('imgs\\background\\.3\\bench area by jon4.png', 0.3)","('imgs\\Stick Bodies\\.15\\horse.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\usas burlap3.png', 0.4)"
,,,,,,
7663091201600876011,CryptoStykz #61,1.95,"('imgs\\background\\.6\\3d room 3.png', 0.6)","('imgs\\Stick Bodies\\.05\\pivot2defaultstk.png', 0.05)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\double barrel java.png', 0.4)"
,,,,,,
7281537304664093213,CryptoStykz #62,2.4,"('imgs\\background\\.6\\building5.png', 0.6)","('imgs\\Stick Bodies\\.5\\splinter cell.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\valmet m76 moon.png', 0.4)"
,,,,,,
4193033918556697180,CryptoStykz #63,0.535,"('imgs\\background\\.1\\stairs.png', 0.1)","('imgs\\Stick Bodies\\.05\\pivot2defaultstk.png', 0.05)","('imgs\\Misc\\.085\\biology sig.png', 0.085)","('imgs\\weapons\\.3\\Bert pistol.png', 0.3)"
,,,,,,
-6817840135174943771,CryptoStykz #64,1.7,"('imgs\\background\\.1\\V2 collection - Back Scene0.png', 0.1)","('imgs\\Stick Bodies\\.3\\god.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\Ninja Naginata amethyst.png', 0.4)"
,,,,,,
-8868560184496649853,CryptoStykz #65,2.4,"('imgs\\background\\.6\\V2 collection - Back Scene7.png', 0.6)","('imgs\\Stick Bodies\\.5\\omegabert3 3-4.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\V2 collection - Knife 2 green.png', 0.4)"
,,,,,,
-7602297082355555272,CryptoStykz #66,2.4,"('imgs\\background\\.6\\building4.png', 0.6)","('imgs\\Stick Bodies\\.5\\animedude2.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\vss vintorez leopard.png', 0.4)"
,,,,,,
4398746021623919758,CryptoStykz #67,2.3,"('imgs\\background\\.6\\outer space5.png', 0.6)","('imgs\\Stick Bodies\\.5\\meerkat.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\real sword stars.png', 0.3)"
,,,,,,
2078989711019117728,CryptoStykz #68,2.1,"('imgs\\background\\.3\\forest4.png', 0.3)","('imgs\\Stick Bodies\\.5\\futurewarrior.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\ak102 parque.png', 0.4)"
,,,,,,
-4952735330678787685,CryptoStykz #69,2.03,"('imgs\\background\\.6\\mountains_Bolt4.png', 0.6)","('imgs\\Stick Bodies\\.5\\Joe.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.03\\ninja sword caution.png', 0.03)"
,,,,,,
612308684393852655,CryptoStykz #70,2.15,"('imgs\\background\\.6\\buildings1.png', 0.6)","('imgs\\Stick Bodies\\.5\\base_picto.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\real sword 2 wood.png', 0.15)"
,,,,,,
-6338996551348604427,CryptoStykz #71,1.65,"('imgs\\background\\.3\\battle stadium4.png', 0.3)","('imgs\\Stick Bodies\\.3\\ob9 Headless.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\basicglock glitch colored.png', 0.15)"
,,,,,,
-2100766701469911488,CryptoStykz #72,1.95,"('imgs\\background\\.6\\bridge2.png', 0.6)","('imgs\\Stick Bodies\\.3\\ob9 Headless.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\beretta 92fs elite firing lightning.png', 0.15)"
,,,,,,
5450156471265916110,CryptoStykz #73,1.9,"('imgs\\background\\.3\\bench area by jon5.png', 0.3)","('imgs\\Stick Bodies\\.3\\Schoolgirl.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\ninja sword stone.png', 0.4)"
,,,,,,
-1848520425887328333,CryptoStykz #74,2,"('imgs\\background\\.3\\ghost town2.png', 0.3)","('imgs\\Stick Bodies\\.5\\OmegaBert4.1.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\sai sword blue web.png', 0.3)"
,,,,,,
-7421457498037725937,CryptoStykz #75,1.8,"('imgs\\background\\.3\\roof0.png', 0.3)","('imgs\\Stick Bodies\\.3\\god.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\glock18 extended clip qbert.png', 0.3)"
,,,,,,
4332163102895072336,CryptoStykz #76,2.4,"('imgs\\background\\.6\\outer space1.png', 0.6)","('imgs\\Stick Bodies\\.5\\wu tang fighter.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\fn fiveseven.png', 0.4)"
,,,,,,
-5284452270716013205,CryptoStykz #77,2,"('imgs\\background\\.3\\dead zone3.png', 0.3)","('imgs\\Stick Bodies\\.5\\Stickslaughter_stkrr4s.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\sar21 amethyst.png', 0.3)"
,,,,,,
-3024106870766343208,CryptoStykz #78,2.3,"('imgs\\background\\.6\\3d room 3.png', 0.6)","('imgs\\Stick Bodies\\.5\\OmegaBert5.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\shotgun pine.png', 0.3)"
,,,,,,
-871470795861828637,CryptoStykz #79,1.85,"('imgs\\background\\.6\\outer space1.png', 0.6)","('imgs\\Stick Bodies\\.3\\Schoolgirl.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.05\\sako-trg42 stripes2.png', 0.05)"
,,,,,,
5011675163459549932,CryptoStykz #80,1.8,"('imgs\\background\\.6\\outer space8.png', 0.6)","('imgs\\Stick Bodies\\.15\\dino.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.15\\mp5k silenced glitch colored.png', 0.15)"
,,,,,,
6544842021662581541,CryptoStykz #81,2.07,"('imgs\\background\\.6\\basic village section 24.png', 0.6)","('imgs\\Stick Bodies\\.5\\SSstk5shi.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.07\\SA sniper rifle rocks.png', 0.07)"
,,,,,,
7414065703460405375,CryptoStykz #82,2,"('imgs\\background\\.3\\forest5.png', 0.3)","('imgs\\Stick Bodies\\.5\\meerkat.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\ak47 stars.png', 0.3)"
,,,,,,
-5206632868447236861,CryptoStykz #83,1.62,"('imgs\\background\\.6\\cityscape2-jon5.png', 0.6)","('imgs\\Stick Bodies\\.05\\sprites_pete.png', 0.05)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.07\\rocket launcher1 green.png', 0.07)"
,,,,,,
-7913819138107232098,CryptoStykz #84,2.4,"('imgs\\background\\.6\\building1.png', 0.6)","('imgs\\Stick Bodies\\.5\\crono real guy.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\ninja sword fibers.png', 0.4)"
,,,,,,
4182862815139552156,CryptoStykz #85,1.55,"('imgs\\background\\.3\\1.png', 0.3)","('imgs\\Stick Bodies\\.05\\horse and cowboy.png', 0.05)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\sai sword blue web.png', 0.3)"
,,,,,,
1478709095920774922,CryptoStykz #86,2,"('imgs\\background\\.3\\forest2.png', 0.3)","('imgs\\Stick Bodies\\.5\\headchopper.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\sar21 3d green.png', 0.3)"
,,,,,,
-5115713612888351729,CryptoStykz #87,2.1,"('imgs\\background\\.3\\stairs2.png', 0.3)","('imgs\\Stick Bodies\\.5\\omegabert3 3-4.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\gun3 wood.png', 0.4)"
,,,,,,
-2606229939654338976,CryptoStykz #88,1.8,"('imgs\\background\\.3\\roof2.png', 0.3)","('imgs\\Stick Bodies\\.3\\Schoolgirl.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\p90 stoner.png', 0.3)"
,,,,,,
-1867104266063193300,CryptoStykz #89,1.8,"('imgs\\background\\.3\\V2 collection - Back Scene 27.png', 0.3)","('imgs\\Stick Bodies\\.3\\cowboy.png', 0.3)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\rifle electric blue.png', 0.3)"
,,,,,,
5022406538623599337,CryptoStykz #90,1.8,"('imgs\\background\\.1\\3d room.png', 0.1)","('imgs\\Stick Bodies\\.5\\bert soldier.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.3\\shotgun parque.png', 0.3)"
,,,,,,
-776813677548183986,CryptoStykz #91,2.05,"('imgs\\background\\.6\\3droom3.png', 0.6)","('imgs\\Stick Bodies\\.15\\horse.png', 0.15)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.4\\ump granite.png', 0.4)"
,,,,,,
2181157008701586983,CryptoStykz #92,2.07,"('imgs\\background\\.6\\3d room7.png', 0.6)","('imgs\\Stick Bodies\\.5\\man.png', 0.5)","('imgs\\Misc\\.9\\no misc.png', 0.9)","('imgs\\weapons\\.07\\sig550 moon.png', 0.07)"
,,,,,,
